EventClass	Tip
MentalHealth	My friend is suicidal
MentalHealth	I am thinking of harming myself
MentalHealth	my coworker has been drinking more recently. I know things have not been going well at home, so he may need a check-in from someone.
MentalHealth	I'm worried about my friend health, they have been depressed
MentalHealth	I feel depressed
MentalHealth	My depression has been really bad lately
MentalHealth	My friend is thinking of committing suicide
MentalHealth	I am suicidal
MentalHealth	I am having a panic attack
MentalHealth	This person sounded suicidal
MentalHealth	Someone was talking about suicide on a message board
ViolentCrime	There is a man outside carrying a gun
ViolentCrime	An employee has a gun
ViolentCrime	My roommate has a gun
ViolentCrime	Gunshots in the building
ViolentCrime	I heard gunshots nearby
ViolentCrime	There is a shooter on campus
ViolentCrime	Assault happening outside
ViolentCrime	Fighting happening right outside
ViolentCrime	2 guys fighting with knives near the lobby
Threat/VerbalAbuse	This guy is threatening people in the store
Suspicious/UnattendedPackage	Unattended package left in the lobby
Suspicious/UnattendedPackage	Suspicious package on the floor
Suspicious/UnattendedPackage	Unattended baggage nearby
ViolentCrime	I just got shot by a guy
ViolentCrime	Someone has been shot
ViolentCrime	Did anyone get shot?
Demonstration/Protestors	There are protestors near the front gate
Demonstration/Protestors	Protestors coming down the street
Demonstration/Protestors	Crowd of protestors out front
Demonstration/Protestors	Protests are scheduled for this afternoon
Demonstration/Protestors	Are there protests today?
MentalHealth	**would like to remain anonymous** My roommate told my other roommate that she had research how to kill herself with her antidepressant medicine. She has mentioned she needed to get connected here with a counselor. I have offered to go with her to counseling center but she refuses. I do not want to force her to go but I know she needs help.
MentalHealth	**would like to remain anonymous** My roommate told my other roommate that she had research how to kill herself with her antidepressant medicine. She has mentioned she needed to get connected here with a counselor. I have offered to go with her to counseling center but she refuses. I do not want to force her to go but I know she needs help.
MentalHealth	This person is just continuously yelling and saying very random things
MentalHealth	I am concerned for my friend
MentalHealth	Person is threatening suicide
MentalHealth	Person is threatening suicide
MentalHealth	I'm concerned that my roommate may be depressed. Is there a way I can help her get the resources she needs?
MentalHealth	I'm concerned that my roommate may be depressed. Is there a way I can help her get the resources she needs?
MentalHealth	I had a panic attack due to my ptsd from watching My best friend get killed and I hyperventilated to the point of passing out after ## minutes Received this email from student and I am concerned. I told her to reach out to one of the many campus resources.
MentalHealth	hi, do yall have the contact for who I should contact for a friend who may have overdosed in staunton? she took fentanyl and methadone and has been throwing up, but as far as I'm aware has no other symptoms. it was intentional and is talking desire to finish off rest of what she has. I've kept her texting me so far and she seems coherent. i asked about calling a wellness check and she asked me not to, but I just want to stay safe not sorry.
MentalHealth	Harm myself
MentalHealth	Harm himself
MentalHealth	Harm herself
MentalHealth	Harm themself
MentalHealth	Harm themselves
MentalHealth	Is there a counselor or something I could talk to? I am really overwhelmed right now and I don’t know where to go.
MentalHealth	my boyfriend has been threatening suicide and hasnt been heard from
MentalHealth	A girl named [PERSON] told me she was planning on killing herself. Not immediately but soon. Soon after she messaged me on social media seen in the photos attached, I was with her and she told me how she was planning to kill her self. I[PERSON] worried that she might go through with it since she said her mind was made up. I hope I spelled her name right. If not, she is an upcoming sophomore at [ORG]. I hope I made the right choice by sending this message to whoever reads this since she said if I told anyone, she would kill her self sooner.
MentalHealth	Welfare check
MentalHealth	welfare check
MentalHealth	Hi My room mate is behaving strangely today. I reported the last time and you considered hospitalizing him. He is strangely dressed and has moved most of his stuff in the hall
MentalHealth	Hey it is a mental ill person in front of the new science and technology center and [PERSON] walking around.
MentalHealth	Mentally ill
MentalHealth	Mental illness
MentalHealth	Hurt himself
MentalHealth	Hurt herself
MentalHealth	hurt themself
MentalHealth	Hurt themselves
MentalHealth	The person named [PERSON] in [FAC] room ### was shouting/ranting, slamming his door, smashing property in his room. The [NORP] approached him begging him to calm down, and he yelled back at him to "call [ORG]" and refused to calm down. He is moaning in his room but has otherwise seemed to have calmed down. I just dont want anyone to get hurt by him if he rages again.
MentalHealth	I want to kill myself
MentalHealth	I am thinking of killing myself
MentalHealth	I just woke up and looked at my phone, and my friend texted me that she was going to kill herself and basically just said bye. I have a psychology major and I’ve been suicidal myself, and I really think she was serious.
MentalHealth	My roommate is screaming and crying and throwing things and breaking things and saying concerning things.
MentalHealth	Is there someone I’d be able to talk to? I'm having flashbacks that I can’t manage on my own. I'm not a danger to myself or to anyone else but I'm struggling due to PTSD like symptoms.
Suspicious/UnattendedPackage	someone left a bag by the stairs near the entrance
Suspicious/UnattendedPackage	no one has come and collected these boxes for a while, can someone please check these?
